Y,date,weekday,D,L,Z,K,slip,resid_trop,E,theta,hour,illum,beta,delta_t_h,dr_Y,dr_D,dr_Z,dr_K
11,2037-06-30,Tuesday,4018,3,574,136,1.83991,0.3359,27.533066,207.533066,0,0.94366,-0.6608,0.019,2,4,7,1
17,2043-06-30,Tuesday,6209,4,887,210,7.576331,-0.1172,88.457663,268.457663,0,0.51474,0.2641,0.02,8,8,5,3
22,2048-06-30,Tuesday,8036,6,1148,272,3.679819,0.6718,53.336534,233.336534,0,0.79838,4.7788,0.02,4,8,5,2
28,2054-06-30,Tuesday,10227,7,1461,346,9.416241,0.2187,109.431767,289.431767,0,0.33531,-4.3671,0.02,1,3,3,4
39,2065-06-30,Tuesday,14245,10,2035,482,11.25615,0.5546,138.45534,318.45534,0,0.12756,4.5485,0.021,3,7,1,5
45,2071-06-30,Tuesday,16436,11,2348,557,-12.538017,0.1015,134.858932,45.141068,23,0.14841,-3.049,0.022,9,2,8,8
50,2076-06-30,Tuesday,18263,13,2609,618,13.09606,0.8905,165.475961,345.475961,0,0.01606,-0.1636,0.023,5,2,8,6
56,2082-06-30,Tuesday,20454,14,2922,693,-10.698108,0.4374,120.543661,59.456339,23,0.24683,-0.9932,0.023,2,6,6,9
67,2093-06-30,Tuesday,24472,17,3496,829,-8.858198,0.7733,102.008764,77.991236,23,0.39751,4.6669,0.025,4,1,4,1
73,2099-06-30,Tuesday,26663,18,3809,903,-3.121777,0.3202,20.030769,159.969231,23,0.96814,-4.9238,0.027,1,5,2,3
79,2105-06-30,Tuesday,28854,19,4122,977,2.614645,-0.133,27.899295,207.899295,0,0.94085,4.5122,0.028,7,9,9,5
85,2111-06-30,Tuesday,31045,20,4435,1051,8.351066,-0.5861,110.143643,290.143643,0,0.32966,-5.1494,0.029,4,4,7,7
90,2116-06-30,Tuesday,32872,22,4696,1113,4.454554,0.2029,54.096609,234.096609,0,0.79329,-4.3858,0.03,9,4,7,6
96,2122-06-30,Tuesday,35063,23,5009,1187,10.190976,-0.2502,125.993737,305.993737,0,0.20774,4.1602,0.032,6,8,5,8
107,2133-06-30,Tuesday,39081,26,5583,1323,12.030885,0.0857,142.22368,322.22368,0,0.10526,-0.3699,0.035,8,3,3,9
113,2139-06-30,Tuesday,41272,27,5896,1398,-11.763282,-0.3674,127.708946,52.291054,23,0.19522,-2.2414,0.037,5,7,1,3
118,2144-06-30,Tuesday,43099,29,6157,1459,13.870795,0.4216,165.761136,345.761136,0,0.01665,-4.0371,0.039,1,7,1,1
124,2150-06-30,Tuesday,45290,30,6470,1534,-9.923373,-0.0315,100.333225,79.666775,23,0.41188,5.2697,0.041,7,2,8,4
135,2161-06-30,Tuesday,49308,33,7044,1670,-8.083463,0.3044,83.011049,96.988951,23,0.56185,-3.7598,0.045,9,6,6,5
141,2167-06-30,Tuesday,51499,34,7357,1744,-2.347042,-0.1487,17.275282,162.724718,23,0.97663,3.5291,0.047,6,1,4,7
146,2172-06-30,Tuesday,53326,36,7618,1806,-6.243553,0.6403,69.514551,110.485449,23,0.67599,-0.0516,0.049,2,1,4,6
152,2178-06-30,Tuesday,55517,37,7931,1880,-0.507132,0.1872,0.048895,180.048895,2,0.99998,0.5069,0.052,8,5,2,8
163,2189-06-30,Tuesday,59535,40,8505,2016,1.332778,0.5231,23.03953,203.03953,0,0.95892,-4.5106,0.057,1,9,9,9
169,2195-06-30,Tuesday,61726,41,8818,2090,7.069199,0.0699,80.786475,260.786475,0,0.58114,4.3771,0.059,7,4,7,2
175,2201-06-30,Tuesday,63917,42,9131,2164,12.80562,-0.3832,162.03037,342.03037,0,0.02616,-4.7661,0.062,4,8,5,4
181,2207-06-30,Tuesday,66108,43,9444,2239,-10.988547,-0.8363,127.297228,52.702772,23,0.19904,5.1227,0.065,1,3,3,7
